Reference(s);Component Name and Value;LibPart;Footprint and part number;Component Price ($)
BT1;Battery_Cell;Device:Battery_Cell;Battery:BatteryHolder_Keystone_1042_1x18650;4
BZ1;Buzzer;Device:Buzzer;Buzzer_Beeper:Buzzer_Murata_PKLCS1212E;0,267
BZ2;Buzzer;Device:Buzzer;Buzzer_Beeper:Buzzer_Murata_PKLCS1212E;0,267
C1;100n;Device:C;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C2;100n;Device:C;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C3;1000u;Device:C;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C4;100n;Device:C;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C5;C;Device:C;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C6;C;Device:C;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C7;C;Device:C;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C8;C;Device:C;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C9;0.1uF;Device:C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C10;10uF;Device:C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
C11;0.1uF;Device:C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0,18
D1;D_Schottky;Device:D_Schottky;Diode_SMD:D_SOD-123;0,37
D2;LED;Device:LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;0,015
D3;LED;Device:LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;0,015
D7;1N4001;Diode:1N4001;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal;0,1
D8;LED;Device:LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;0,015
D9;LED;Device:LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;0,015
D10;LED;Device:LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;0,015
D11;LED;Device:LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;0,015
J1;Conn_01x33_Female;Connector:Conn_01x33_Female;Connector_PinHeader_2.54mm:PinHeader_1x33_P2.54mm_Vertical;0
J2;Conn_01x33_Female;Connector:Conn_01x33_Female;Connector_PinSocket_2.54mm:PinSocket_1x33_P2.54mm_Vertical;0
J3;Conn_01x33_Female;Connector:Conn_01x33_Female;Connector_PinSocket_2.54mm:PinSocket_1x33_P2.54mm_Vertical;0
J4;Conn_01x33_Female;Connector:Conn_01x33_Female;Connector_PinHeader_2.54mm:PinHeader_1x33_P2.54mm_Vertical;0
J5;USB_B_Micro;Connector:USB_B_Micro;Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal;3,075
Q1;IRF4905;Transistor_FET:IRF4905;Package_TO_SOT_THT:TO-220-3_Vertical;0,25
Q4;2N3904;Transistor_BJT:2N3904;Package_TO_SOT_THT:TO-39-3;0,2
Q5;2N2219;Transistor_BJT:2N2219;Package_TO_SOT_THT:TO-39-3;0,2
Q6;2N2219;Transistor_BJT:2N2219;Package_TO_SOT_THT:TO-39-3;0,2
R1;5.6k;Device:R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;0,007
R2;10k;Device:R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;0,007
R3;10k;Device:R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;0,007
R4;47k;Device:R;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;0,007
R5;47k;Device:R;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;0,007
R6;300;Device:R_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;0,007
R7;47k;Device:R;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;0,007
R8;560;Device:R;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;0,007
