Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,209.55,-99.06,0.0,top
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.6625,-127.0,0.0,top
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.1855,-69.088,0.0,top
C4,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.096,-80.264,0.0,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.7,-105.41,-90.0,top
C6,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.32,-109.22,-90.0,top
C7,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,227.33,-87.63,0.0,top
C8,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,227.33,-90.17,0.0,top
C9,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,217.17,-116.84,0.0,top
C10,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,212.725,-116.84,0.0,top
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,174.244,-103.632,180.0,top
D1,D_Schottky,D_SOD-123,143.51,-71.12,0.0,top
D4,D_Zener,ZMM3V3-M,164.084,-74.676,-90.0,top
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.176,-65.024,0.0,top
D6,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.684,-70.104,180.0,top
D7,1N4001,D_SOD-323,172.461,-73.66,90.0,top
D8,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,134.62,-96.52,-90.0,top
D9,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,134.62,-101.6,90.0,top
D12,1N4001,D_SOD-323,188.468,-76.2,180.0,top
D13,D_Schottky,D_SOD-123,224.79,-135.89,90.0,top
J1,Conn_01x33_Female,PinHeader_1x33_P2.54mm_Vertical,219.71,-80.01,-90.0,top
J2,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,219.71,-90.17,-90.0,top
J3,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,219.71,-130.81,-90.0,top
J4,Conn_01x33_Female,PinHeader_1x33_P2.54mm_Vertical,219.71,-140.97,-90.0,top
J5,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,226.06,-104.14,-90.0,top
JP1,Jumper_2_Bridged,PinHeader_1x02_P2.54mm_Vertical,209.55,-67.31,0.0,top
JP2,Jumper_2_Bridged,PinHeader_1x02_P2.54mm_Vertical,214.63,-147.32,-90.0,top
JP3,Jumper_2_Bridged,PinHeader_1x02_P2.54mm_Vertical,227.33,-93.98,0.0,top
JP4,Jumper_2_Bridged,PinHeader_1x02_P2.54mm_Vertical,170.185,-145.415,-90.0,top
